# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.0171155286095066,4.724786721717587,3.282493344343518,-176.90797541582148,3.05134658582852,3.0,-0.17360990385073882,180.0,-30.42007746299041,0.0
 1.0222000461758902,4.7092537525816,3.2816963252510654,-177.06264683405283,3.0666001385276713,3.0000000000000875,-0.1739040475713924,180.0,-30.622987424906746,0.0
 1.0272620962380414,4.6937103775941855,3.2809409301604626,-177.21766192945032,3.0817862887141247,2.999999999999956,-0.17418737963226807,180.0,-30.823826922649932,0.0
 1.0323020900889186,4.67815645426312,3.2802272895112137,-177.37301382760097,3.0969062702667562,3.0,-0.1744598517862623,180.0,-31.022568227012986,0.0
 1.0373204299009922,4.662591840096184,3.279555533742824,-177.5286956168074,3.1119612897029767,2.9999999999999556,-0.17472141823179488,180.0,-31.21918393191263,0.0
 1.0423175090288517,4.647016392601154,3.2789257932947975,-177.6847003492223,3.1269525270865555,3.0000000000000444,-0.174972035646873,180.0,-31.413646976591224,0.0
 1.0472937122988042,4.631429969285812,3.278338198606639,-177.8410210420284,3.141881136896413,3.0,-0.17521166322224865,180.0,-31.605930657953238,0.0
 1.052249416286141,4.615832427657934,3.277792880117853,-177.9976506786135,3.1567482488584235,2.999999999999955,-0.1754402627145229,180.0,-31.796008645401812,0.0
 1.057184989580698,4.6002236252253,3.2772899682679437,-178.15458220975725,3.171554968742094,3.0,-0.17565779839435183,180.0,-31.98385500213806,0.0
 1.06210079304131,4.584603419495688,3.2768295934964162,-178.31180855486048,3.18630237912393,2.9999999999999547,-0.17586423711914567,180.0,-32.169444191396686,0.0
 1.0669971800397158,4.568971667976878,3.2764118862427747,-178.46932260314514,3.2009915401191478,3.0000000000000906,-0.1760595482394781,180.0,-32.35275109957391,0.0
 1.0718744966944358,4.553328228176646,3.2760369769465236,-178.6271172149091,3.215623490083308,3.0000000000000457,-0.1762437039584831,180.0,-32.53375104538868,0.0
 1.0767330820951218,4.537672957602774,3.2757049960471676,-178.7851852227678,3.2301992462853657,2.9999999999999543,-0.17641667888594562,180.0,-32.71241979627638,0.0
 1.0815732685178445,4.522005713763038,3.2754160739842115,-178.9435194329201,3.244719805553534,3.0,-0.176578450314427,180.0,-32.888733579838004,0.0
 1.0863953816317575,4.506326354165218,3.2751703411971596,-179.10211262641548,3.259186144895273,2.999999999999954,-0.17672899832717237,180.0,-33.06266910068046,0.0
 1.091199740697551,4.490634736317092,3.274967928125516,-179.26095756044865,3.2735992220926535,3.0,-0.17686830557905045,180.0,-33.234203550313815,0.0
 1.0959866587580926,4.474930717726439,3.2748089652087864,-179.4200469696514,3.287959976274278,3.0,-0.17699635736413066,180.0,-33.40331461929395,0.0
 1.1007564428216166,4.459214155901039,3.274693582886474,-179.57937356739137,3.3022693284648494,2.9999999999999067,-0.17711314180243903,180.0,-33.56998051458571,0.0
 1.1055093940378187,4.443484908348669,3.274621911598084,-179.73893004710604,3.3165281821134562,3.0000000000000933,-0.17721864962095754,180.0,-33.734179963149224,0.0
