# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.5,2.88,-90.0,0,3.0,0,180.0,0.0,0.0
 0.00884231589533305,4.5,2.8798827201744106,-90.0,0.026526947685999152,3.0,0,180.0,0.0,0.0
 0.012498592413837262,4.5,2.879765677781509,-90.0,0.03749577724151179,3.000000000000001,0,180.0,0.0,0.0
 0.015300321298223485,4.5,2.8796488502522566,-90.0,0.04590096389467045,2.9999999999999982,0,180.0,0.0,0.0
 0.017659463608019028,4.5,2.8795322150176155,-90.0,0.05297839082405709,3.000000000000002,0,180.0,0.0,0.0
 0.01973576265654603,4.5,2.8794157495085466,-90.0,0.059207287969638096,3.0000000000000018,0,180.0,0.0,0.0
 0.021611244665498536,4.5,2.879299431156012,-90.0,0.06483373399649561,2.9999999999999982,0,180.0,0.0,0.0
 0.02333470389824704,4.5,2.8791832373909716,-90.0,0.07000411169474112,2.999999999999996,0,180.0,0.0,1.7727257985956848e-11
 0.024937981148057422,4.5,2.8790671456443886,-90.0,0.07481394344417226,3.0,0,180.00000000000003,0.0,-1.888172936575443e-11
 0.026443230422626102,4.5,2.8789511333472237,-90.0,0.07932969126787831,3.0000000000000044,0,180.0,0.0,0.0
 0.027866611677310575,4.5,2.878835177930439,-90.0,0.08359983503193173,3.000000000000002,0,180.0,0.0,0.0
 0.029220348788748234,4.5,2.8787192568249957,-90.0,0.08766104636624471,3.0,0,180.0,0.0,0.0
 0.0305139589712051,4.5,2.8786033474618553,-90.0,0.09154187691361532,3.000000000000008,0,180.0,0.0,0.0
 0.03175502824246976,4.5,2.87848742727198,-90.0,0.09526508472740929,2.9999999999999973,0,180.0,0.0,2.3789945077470864e-11
 0.03294972244364803,4.5,2.8783714736863297,-90.0,0.0988491673309441,2.9999999999999942,0,180.00000000000003,0.0,-2.4641379029515907e-11
 0.03410313635755114,4.5,2.8782554641358673,-90.0,0.10230940907265343,3.0,0,180.0,0.0,0.0
 0.035219539543138015,4.5,2.878139376051554,-90.0,0.10565861862941406,3.000000000000006,0,180.0,0.0,0.0
 0.03630255395651949,4.5,2.878023186864351,-90.0,0.10890766186955847,2.999999999999987,0,180.0,0.0,0.0
 0.03735528516626439,4.5,2.8779068740052205,-90.0,0.11206585549879318,3.0,0,180.0,0.0,-2.772481803656991e-11
 0.038380421179525684,4.5,2.877790414905123,-90.0,0.11514126353857707,3.0000000000000133,0,179.99999999999997,0.0,2.842492228694545e-11
 0.03938030814996279,4.5,2.877673786995021,-90.0,0.11814092444988837,2.999999999999993,0,180.0,0.0,0.0
 0.0403570092559251,4.5,2.8775569677058757,-90.0,0.12107102776777531,3.000000000000007,0,180.0,0.0,0.0
 0.04131235110997604,4.5,2.877439934468649,-90.0,0.12393705332992813,3.0,0,180.0,0.0,0.0
 0.04224796078470201,4.5,2.8773226647143013,-90.0,0.12674388235410605,3.0,0,180.0,0.0,3.09829155061768e-11
 0.043165295676079095,4.5,2.877205135873795,-90.0,0.1294958870282373,3.0000000000000075,0,180.00000000000003,0.0,-3.1566624220618585e-11
 0.044065667829647534,4.5,2.8770873253780906,-90.0,0.13219700348894262,2.9999999999999925,0,180.0,0.0,-3.2129589122500904e-11
 0.04495026393581124,4.5,2.8769692106581513,-90.0,0.13485079180743373,3.0,0,179.99999999999997,0.0,0.0
 0.04582016190181091,4.5,2.8768507691449376,-90.0,0.13746048570543273,2.999999999999992,0,179.99999999999997,0.0,6.639168594543769e-11
 0.04667634469113672,4.5,2.876731978269411,-90.0,0.14002903407341016,3.0,0,180.00000000000003,0.0,-3.37002755538265e-11
 0.04751971196227397,4.5,2.8766128154625337,-90.0,0.1425591358868219,2.9999999999999836,0,180.0,0.0,0.0
 0.04835108992038596,4.5,2.876493258155266,-90.0,0.14505326976115787,2.9999999999999916,0,180.0,0.0,0.0
 0.04917123970662091,4.5,2.876373283778571,-90.0,0.14751371911986275,3.0000000000000253,0,180.0,0.0,0.0
 0.04998086458229797,4.5,2.876252869763409,-90.0,0.14994259374689392,3.0000000000000173,0,180.0,0.0,0.0
 0.05078061611322586,4.5,2.8761319935407417,-90.0,0.1523418483396776,2.999999999999991,0,180.0,0.0,0.0
 0.05157109951946388,4.5,2.87601063254153,-90.0,0.15471329855839164,2.999999999999991,0,180.0,0.0,0.0
 0.05235287832432691,4.5,2.8758887641967372,-90.0,0.15705863497298075,3.0000000000000178,0,180.0,0.0,0.0
 0.05312647841190739,4.5,2.8757663659373236,-90.0,0.1593794352357222,3.000000000000027,0,180.0,0.0,0.0
 0.053892391582663686,4.5,2.875643415194251,-90.0,0.16167717474799112,3.000000000000027,0,180.0,0.0,0.0
 0.054651078681145236,4.5,2.875519889398481,-90.0,0.16395323604343578,3.000000000000018,0,180.0,0.0,0.0
 0.05540297235723667,4.5,2.875395765980975,-90.0,0.1662089170717101,3.0,0,180.0,0.0,0.0
 0.0561484795122444,4.5,2.8752710223726945,-90.0,0.16844543853673327,2.9999999999999907,0,180.0,0.0,0.0
 0.05688798347278076,4.5,2.875145636004601,-90.0,0.17066395041834237,3.0000000000000187,0,180.0,0.0,0.0
 0.057621845928688686,4.5,2.8750195843076556,-90.0,0.17286553778606614,3.0,0,180.0,0.0,0.0
 0.058350408665686096,4.5,2.874892844712821,-90.0,0.17505122599705836,2.999999999999981,0,180.0,0.0,0.0
